timestamp,sensor_id,w,x,y,z
16:57:21.657735,1,1.0,0.0,0.0,-0.0
16:57:28.279755,1,1.0,0.0,0.0,0.0
16:57:28.288326,2,1.0,0.0,0.0,-0.0
16:57:28.345853,1,1.0,0.0,0.0,-0.0
16:57:28.357831,2,1.0,0.0,0.0,-0.0
16:57:28.415415,1,1.0,0.0,0.0,-0.0
16:57:28.427234,2,1.0,0.0,0.0,-0.0
16:57:28.484450,1,1.0,0.0,0.0,-0.0
16:57:28.497386,2,1.0,0.0,0.0,-0.0
16:57:28.554873,1,1.0,0.0,0.0,-0.0
16:57:28.566668,2,1.0,0.0,0.0,-0.0
16:57:28.624026,1,1.0,0.0,0.0,-0.0
16:57:28.635753,2,1.0,0.0,0.0,-0.0
16:57:28.693272,1,1.0,0.0,0.0,-0.0
16:57:28.763301,1,1.0,0.0,0.0,-0.0
16:57:29.128035,2,1.0,0.0,0.0,-0.0
16:57:29.185529,1,1.0,0.0,0.0,-0.0
16:57:29.197343,2,1.0,0.0,0.0,-0.0
16:57:29.255227,1,1.0,0.0,0.0,-0.0
16:57:29.267275,2,1.0,0.0,0.0,-0.0
16:57:29.324480,1,1.0,0.0,0.0,-0.0
16:57:29.336314,2,1.0,0.0,0.0,-0.0
16:57:29.393723,1,1.0,0.0,0.0,-0.0
16:57:29.406182,2,1.0,0.0,0.0,-0.0
16:57:29.464030,1,1.0,0.0,0.0,-0.0
16:57:29.475873,2,1.0,0.0,0.0,-0.0
16:57:29.533488,1,1.0,0.0,0.0,-0.0
16:57:29.545351,2,1.0,0.0,0.0,-0.0
16:57:29.603124,1,1.0,0.0,0.0,-0.0
16:57:30.024811,1,1.0,0.0,0.0,-0.0
16:57:30.094075,1,1.0,0.0,0.0,-0.0
16:57:30.106998,2,1.0,0.0,0.0,-0.0
16:57:30.164295,1,1.0,0.0,0.0,-0.0
16:57:30.176689,2,1.0,0.0,0.0,-0.0
16:57:30.234328,1,1.0,0.0,0.0,-0.0
16:57:30.246085,2,1.0,0.0,0.0,-0.0
16:57:30.303763,1,1.0,0.0,0.0,-0.0
16:57:30.315678,2,1.0,0.0,0.0,-0.0
16:57:30.373472,1,1.0,0.0,0.0,-0.0
16:57:30.385356,2,1.0,0.0,0.0,-0.0
16:57:30.454595,2,1.0,0.0,0.0,-0.0
16:57:30.524580,2,1.0,0.0,0.0,-0.0
16:57:30.864829,1,1.0,0.0,0.0,-0.0
16:57:30.934535,1,1.0,0.0,0.0,-0.0
16:57:31.003899,1,1.0,0.0,0.0,-0.0
16:57:31.016113,2,1.0,0.0,0.0,-0.0
16:57:31.072928,1,1.0,0.0,0.0,-0.0
16:57:31.085737,2,1.0,0.0,0.0,-0.0
16:57:31.143148,1,1.0,0.0,0.0,-0.0
16:57:31.155168,2,1.0,0.0,0.0,-0.0
16:57:31.212928,1,1.0,0.0,0.0,-0.0
16:57:31.224997,2,1.0,0.0,0.0,-0.0
16:57:31.282639,1,1.0,0.0,0.0,-0.0
16:57:31.294418,2,1.0,0.0,0.0,-0.0
16:57:31.363819,2,1.0,0.0,0.0,-0.0
16:57:31.433779,2,1.0,0.0,0.0,-0.0
16:57:31.704819,1,1.0,-0.01,-0.0,-0.0
16:57:31.774174,1,1.0,-0.03,-0.0,-0.01
16:57:31.843885,1,1.0,-0.04,-0.0,-0.01
