Frame,Name_Time (Seconds),0_X,0_Y,0_Z,1_X,1_Y,1_Z,2_X,2_Y,2_Z,3_X,3_Y,3_Z,4_X,4_Y,4_Z,5_X,5_Y,5_Z,6_X,6_Y,6_Z
26,0.216667,-54.229137,194.564514,582.965393,-34.914684,108.951019,513.458496,-53.346119,91.062172,497.595551,-39.614223,70.289268,486.92746,-56.300014,50.857719,479.281647,-43.201118,30.842857,472.29248,-59.51033,12.650387,466.587219
27,0.225,-54.227882,194.561005,582.954712,-34.911549,108.952835,513.460999,-53.34531,91.062614,497.611023,-39.612835,70.287491,486.928375,-56.298882,50.855488,479.273834,-43.201916,30.841932,472.291718,-59.511311,12.648523,466.595154
28,0.233333,-54.23106,194.5634,582.960266,-34.913315,108.951729,513.472229,-53.346344,91.064323,497.607605,-39.61623,70.291023,486.935028,-56.302914,50.857258,479.288971,-43.201591,30.84045,472.29422,-59.51012,12.645802,466.591797
29,0.241667,-54.23103,194.564072,582.965759,-34.914635,108.954964,513.467346,-53.348759,91.066536,497.606415,-39.616062,70.292191,486.929077,-56.304138,50.859898,479.289825,-43.202763,30.841475,472.289337,-59.512634,12.647225,466.586517
30,0.25,-54.23011,194.563171,582.956665,-34.913418,108.955673,513.461914,-53.346771,91.067406,497.606415,-39.61615,70.292229,486.926331,-56.301788,50.860119,479.273254,-43.20253,30.841572,472.294067,-59.512054,12.647805,466.586761
31,0.258333,-54.230286,194.564468,582.959351,-34.91143,108.954559,513.459473,-53.346161,91.068001,497.609894,-39.616623,70.292404,486.923889,-56.301765,50.859707,479.281586,-43.200226,30.83913,472.287201,-59.511425,12.646346,466.585266
32,0.266667,-54.230541,194.566986,582.968262,-34.911713,108.953369,513.460022,-53.34502,91.065376,497.604492,-39.61385,70.291512,486.927277,-56.303478,50.85894,479.278473,-43.20166,30.839348,472.287781,-59.510845,12.646381,466.576416
33,0.275,-54.230881,194.56427,582.965698,-34.914272,108.953888,513.466614,-53.34621,91.067345,497.604858,-39.61544,70.292542,486.927734,-56.301582,50.856476,479.265228,-43.200642,30.842756,472.28299,-59.512978,12.645733,466.594391
34,0.283333,-54.230152,194.562881,582.962524,-34.913891,108.95266,513.4646,-53.343792,91.066299,497.598816,-39.616055,70.290154,486.934601,-56.299347,50.85667,479.274139,-43.20248,30.838737,472.290497,-59.512428,12.647254,466.586578
35,0.291667,-54.231064,194.566483,582.965088,-34.914181,108.957214,513.469299,-53.342957,91.068375,497.601807,-39.613377,70.291191,486.928955,-56.301121,50.861202,479.287079,-43.201035,30.841864,472.288544,-59.510643,12.649295,466.587616
36,0.3,-54.22963,194.565811,582.963562,-34.912243,108.955772,513.470581,-53.347046,91.067116,497.605652,-39.612087,70.288818,486.919708,-56.300793,50.859795,479.282257,-43.200871,30.844154,472.297852,-59.512676,12.650218,466.590668
37,0.308333,-54.230377,194.565201,582.964783,-34.914173,108.949516,513.468872,-53.3451,91.063034,497.605103,-39.614319,70.286911,486.917358,-56.300674,50.857967,479.276855,-43.201809,30.843235,472.292053,-59.513466,12.647158,466.587738
38,0.316667,-54.231926,194.565979,582.971558,-34.914005,108.953339,513.469727,-53.346935,91.061554,497.602386,-39.614616,70.287941,486.927734,-56.301544,50.857944,479.2789,-43.201397,30.839657,472.289551,-59.511623,12.648623,466.586487
39,0.325,-54.230328,194.561951,582.95813,-34.91188,108.956055,513.468994,-53.344273,91.062622,497.58783,-39.616386,70.287598,486.927887,-56.301216,50.859535,479.275482,-43.20071,30.841091,472.28598,-59.511017,12.649217,466.589905
40,0.333333,-54.228825,194.564972,582.964722,-34.913082,108.952118,513.460327,-53.344967,91.062836,497.59671,-39.614449,70.289406,486.924561,-56.302132,50.858063,479.280823,-43.201836,30.842632,472.301086,-59.510998,12.649951,466.591064
41,0.341667,-54.229557,194.561905,582.958069,-34.91209,108.955582,513.463135,-53.344688,91.067337,497.600067,-39.612701,70.288246,486.915771,-56.298717,50.855289,479.275909,-43.201683,30.837179,472.287384,-59.509918,12.646404,466.596619
42,0.35,-54.232033,194.564484,582.971436,-34.913456,108.95414,513.475708,-53.348331,91.067291,497.614777,-39.614441,70.28949,486.930298,-56.302151,50.85556,479.271973,-43.202492,30.83872,472.292999,-59.514069,12.643288,466.601959
43,0.358333,-54.230381,194.561157,582.961365,-34.914146,108.951241,513.457947,-53.344505,91.06723,497.601501,-39.61459,70.290833,486.929657,-56.300072,50.855984,479.265656,-43.200233,30.840178,472.290955,-59.513397,12.643604,466.595917
44,0.366667,-54.231457,194.566635,582.970459,-34.913113,108.953339,513.464722,-53.344913,91.067345,497.600769,-39.61396,70.291145,486.925323,-56.298328,50.860233,479.269196,-43.201099,30.844397,472.287018,-59.508343,12.646586,466.583344
45,0.375,-54.2295,194.563583,582.960754,-34.914547,108.957008,513.47644,-53.344009,91.063744,497.59259,-39.613068,70.288338,486.92215,-56.300629,50.859623,479.272461,-43.200546,30.844416,472.294098,-59.508339,12.648527,466.585968
46,0.383333,-54.229774,194.562378,582.964905,-34.915337,108.953354,513.463623,-53.347412,91.062592,497.601807,-39.613625,70.288429,486.922852,-56.301403,50.856541,479.276062,-43.199879,30.842863,472.28949,-59.513203,12.646381,466.582672
47,0.391667,-54.2309,194.563232,582.97168,-34.911224,108.950912,513.467468,-53.346317,91.060738,497.608826,-39.616009,70.287956,486.932922,-56.301964,50.857624,479.278076,-43.201408,30.840282,472.2901,-59.512268,12.648964,466.588745
48,0.4,-54.231213,194.564728,582.97168,-34.914154,108.950615,513.472961,-53.346107,91.061249,497.607544,-39.614769,70.288658,486.928589,-56.30275,50.858723,479.286163,-43.201176,30.840574,472.286591,-59.511429,12.648663,466.596497
49,0.408333,-54.232143,194.565231,582.963257,-34.912235,108.950859,513.45697,-53.347248,91.066376,497.607788,-39.611313,70.291191,486.924835,-56.302158,50.860249,479.2854,-43.200977,30.842577,472.285553,-59.511288,12.652411,466.580933
50,0.416667,-54.231068,194.563766,582.958679,-34.913921,108.952187,513.461609,-53.345741,91.065636,497.603607,-39.614101,70.289467,486.928436,-56.299923,50.859856,479.274567,-43.200958,30.84425,472.303131,-59.51228,12.652617,466.588348
51,0.425,-54.229664,194.565323,582.963684,-34.911449,108.951874,513.457336,-53.344673,91.063568,497.598755,-39.61454,70.290489,486.919922,-56.300385,50.857414,479.271149,-43.20219,30.842133,472.290894,-59.511429,12.651222,466.5896
52,0.433333,-54.230164,194.563278,582.963806,-34.914028,108.954239,513.474854,-53.348251,91.062378,497.605896,-39.615337,70.289635,486.927399,-56.303085,50.860844,479.277924,-43.203468,30.842588,472.297241,-59.514099,12.648403,466.585999
53,0.441667,-54.229946,194.560623,582.95697,-34.91531,108.951935,513.469482,-53.345043,91.062523,497.598907,-39.616096,70.291779,486.930328,-56.300407,50.855911,479.273224,-43.200367,30.839014,472.291046,-59.512394,12.643883,466.589752
54,0.45,-54.229515,194.56427,582.965515,-34.910126,108.955063,513.464966,-53.344086,91.068108,497.601593,-39.616642,70.291389,486.932556,-56.30201,50.859428,479.280029,-43.203861,30.840412,472.290924,-59.512787,12.648014,466.590515
55,0.458333,-54.229385,194.56488,582.964539,-34.914436,108.955101,513.453552,-53.344044,91.068161,497.594757,-39.614906,70.292274,486.925049,-56.301548,50.86042,479.272064,-43.202885,30.842955,472.294189,-59.512558,12.648468,466.594513
56,0.466667,-54.23011,194.561798,582.957886,-34.913963,108.956429,513.476746,-53.344208,91.065552,497.598633,-39.616257,70.28965,486.926422,-56.303226,50.860062,479.279602,-43.201527,30.844604,472.294403,-59.512089,12.647577,466.590851
57,0.475,-54.230045,194.564804,582.964783,-34.914574,108.952583,513.463623,-53.344471,91.06691,497.602905,-39.616425,70.29158,486.926575,-56.299824,50.859787,479.278076,-43.202583,30.841827,472.292419,-59.509789,12.648342,466.58786
58,0.483333,-54.229778,194.56485,582.963684,-34.911793,108.952881,513.467529,-53.341785,91.065506,497.597534,-39.614086,70.290131,486.920868,-56.302055,50.859844,479.277893,-43.203255,30.842548,472.299988,-59.513599,12.650971,466.586365
59,0.491667,-54.231163,194.562912,582.958557,-34.912502,108.953178,513.47583,-53.342815,91.062569,497.59967,-39.615643,70.289711,486.933289,-56.300106,50.858284,479.282806,-43.1992,30.83853,472.289429,-59.512852,12.647602,466.588989
60,0.5,-54.229992,194.565262,582.968872,-34.913712,108.952477,513.467896,-53.344009,91.060196,497.597504,-39.616425,70.287964,486.930237,-56.301258,50.85817,479.279083,-43.200729,30.84466,472.2883,-59.511322,12.649168,466.586884
61,0.508333,-54.230457,194.564148,582.964844,-34.911903,108.954727,513.468994,-53.347752,91.064186,497.609222,-39.614113,70.287041,486.919525,-56.302391,50.858253,479.279541,-43.200832,30.840427,472.28656,-59.515179,12.651001,466.593567
62,0.516667,-54.23085,194.564514,582.962219,-34.915558,108.953484,513.463501,-53.347782,91.064217,497.610046,-39.615765,70.289146,486.924133,-56.301373,50.855526,479.27832,-43.200413,30.842026,472.300629,-59.512421,12.648787,466.590515
63,0.525,-54.229855,194.566681,582.970581,-34.913925,108.956657,513.481567,-53.34222,91.06189,497.594299,-39.614368,70.290726,486.926056,-56.300499,50.856644,479.286072,-43.201336,30.84086,472.299347,-59.509647,12.647111,466.586212
64,0.533333,-54.23164,194.561615,582.9599,-34.914703,108.954811,513.476013,-53.346775,91.063889,497.606232,-39.61475,70.286987,486.929321,-56.29977,50.857235,479.274872,-43.200264,30.838419,472.297974,-59.50956,12.644193,466.583679
65,0.541667,-54.231873,194.561325,582.963074,-34.912464,108.951714,513.468567,-53.34861,91.061783,497.606079,-39.615795,70.286972,486.923401,-56.301296,50.854778,479.272949,-43.201256,30.840139,472.286591,-59.51123,12.644505,466.592407
66,0.55,-54.2318,194.561203,582.960144,-34.91431,108.950821,513.463318,-53.34576,91.066086,497.604706,-39.616417,70.289238,486.92627,-56.301563,50.855911,479.279449,-43.199619,30.841032,472.287323,-59.511112,12.647293,466.597534
