Format Version,1.24,Take Name,Take 2025-02-24 03.33.40 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-02-24 03.33.40.788 下午,Capture Start Frame,790216,Total Frames in Take,6462,Total Exported Frames,6462,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.000106,-0.000084,-0.000086,1.000000,-1.694464,115.775139,461.345947,-11.706213,97.775269,451.479248,-9.778386,127.119003,458.861176,16.401207,122.431183,473.697479,-11.705728,97.778297,451.482849,-9.779007,127.116905,458.858063,16.401419,122.430656,473.696838,-6.703997,-79.973549,390.625977,22.759127,-41.512035,383.828369,35.884407,19.208292,418.962677,19.165758,-80.552292,374.993500,34.059021,-63.658276,386.012360,37.410423,-22.880623,396.462036,-0.298036,-4.661703,410.273132,-1.678087,-41.411530,397.443115,24.019604,0.880349,397.589752,,,,,,
7,0.058333,0.000265,-0.000058,0.000034,1.000000,-1.694974,115.774727,461.341095,-11.702910,97.779778,451.461548,-9.781754,127.118500,458.865173,16.399742,122.425941,473.696625,-11.709378,97.772964,451.453857,-9.777979,127.119202,458.868896,16.402357,122.432060,473.699249,-6.702754,-79.973846,390.633362,22.758978,-41.510578,383.824524,35.883148,19.206360,418.955200,19.165552,-80.552147,374.999451,34.060623,-63.657524,386.021149,37.411293,-22.878054,396.463684,-0.296906,-4.660114,410.280487,-1.677467,-41.406216,397.437256,24.019039,0.880033,397.589569,,,,,,
8,0.066667,0.000061,0.000066,-0.000013,1.000000,-1.694001,115.776787,461.350769,-11.706068,97.778748,451.481079,-9.780332,127.120300,458.872223,16.404396,122.431351,473.699097,-11.704328,97.778282,451.485107,-9.779099,127.122803,458.874176,16.401882,122.430122,473.696960,-6.704375,-79.969475,390.633270,22.760069,-41.513096,383.828827,35.883266,19.205170,418.959961,19.166842,-80.548439,374.997681,34.059597,-63.658497,386.017944,37.411068,-22.878159,396.460327,-0.296707,-4.663723,410.279938,-1.680259,-41.405315,397.428925,24.021164,0.880336,397.588715,,,,,,
9,0.075000,0.000255,0.000162,0.000074,1.000000,-1.694488,115.775513,461.348816,-11.705338,97.779572,451.474030,-9.783266,127.118591,458.876251,16.405142,122.428421,473.696228,-11.707188,97.773102,451.470581,-9.779580,127.122833,458.880249,16.403204,122.430176,473.694824,-6.704054,-79.969315,390.627991,22.759537,-41.511967,383.830658,35.884178,19.207151,418.967102,19.166523,-80.550140,374.999176,34.060932,-63.656666,386.027649,37.410301,-22.879221,396.460510,-0.295090,-4.662585,410.271973,-1.676149,-41.408646,397.439758,24.019239,0.879374,397.595337,,,,,,
10,0.083333,-0.000011,0.000068,-0.000030,1.000000,-1.693849,115.776245,461.351135,-11.706556,97.777130,451.484039,-9.779813,127.119675,458.871002,16.404821,122.431984,473.698425,-11.704832,97.777443,451.486755,-9.779496,127.121094,458.870209,16.403069,122.430588,473.697327,-6.703715,-79.972694,390.633636,22.758900,-41.512890,383.824371,35.883221,19.203718,418.956665,19.165705,-80.550415,374.996857,34.058971,-63.658298,386.020142,37.410698,-22.877617,396.457184,-0.295730,-4.661587,410.282776,-1.676359,-41.411034,397.444824,24.020559,0.878906,397.592468,,,,,,
11,0.091667,0.000143,0.000092,0.000035,1.000000,-1.693316,115.774475,461.348877,-11.704167,97.777092,451.476746,-9.780878,127.117622,458.872650,16.405096,122.428757,473.697357,-11.704298,97.774979,451.476074,-9.778954,127.119301,458.874359,16.403303,122.429161,473.696259,-6.704069,-79.971840,390.636475,22.758915,-41.510937,383.827850,35.882198,19.207016,418.954102,19.166706,-80.550255,375.002045,34.058689,-63.657738,386.018036,37.410103,-22.880775,396.457672,-0.294639,-4.663262,410.280701,-1.680183,-41.405231,397.425842,24.018682,0.879139,397.590240,,,,,,
12,0.100000,0.000236,0.000028,0.000066,1.000000,-1.694698,115.774918,461.342377,-11.703176,97.778755,451.465607,-9.782643,127.118019,458.867218,16.401724,122.428017,473.694397,-11.706843,97.774406,451.462402,-9.780736,127.118813,458.868591,16.403473,122.431534,473.696228,-6.702830,-79.969147,390.628387,22.758274,-41.510109,383.828644,35.883484,19.206488,418.957977,19.166149,-80.549698,375.000519,34.059711,-63.656158,386.019775,37.411480,-22.877766,396.462341,-0.295458,-4.661590,410.275543,-1.675835,-41.406956,397.445007,24.020824,0.877743,397.592041,,,,,,
13,0.108333,0.000005,0.000077,-0.000031,1.000000,-1.693475,115.778206,461.351288,-11.706428,97.779434,451.483826,-9.779449,127.121750,458.871674,16.405451,122.433487,473.698425,-11.704412,97.781357,451.485535,-9.778418,127.121407,458.872040,16.402399,122.431885,473.696320,-6.703509,-79.968620,390.627625,22.759293,-41.512249,383.829041,35.885040,19.207417,418.958557,19.167194,-80.551353,375.004883,34.059502,-63.656643,386.020325,37.410522,-22.876228,396.461670,-0.296132,-4.658759,410.287720,-1.677680,-41.409180,397.435120,24.019802,0.879743,397.595673,,,,,,
14,0.116667,0.000212,-0.000020,0.000028,1.000000,-1.695036,115.775337,461.342041,-11.703947,97.779465,451.465179,-9.781869,127.118942,458.865540,16.400707,122.427643,473.695496,-11.709168,97.774445,451.456818,-9.779913,127.117630,458.865967,16.403107,122.432106,473.697937,-6.703466,-79.967735,390.626343,22.758640,-41.509846,383.826324,35.883217,19.206900,418.962006,19.164724,-80.549728,374.999359,34.058735,-63.655296,386.016052,37.410618,-22.876724,396.460205,-0.297021,-4.661356,410.281311,-1.677263,-41.405048,397.445770,24.017778,0.878859,397.586456,,,,,,
15,0.125000,-0.000006,-0.000012,-0.000027,1.000000,-1.694328,115.777664,461.354492,-11.705381,97.778595,451.485626,-9.779950,127.121078,458.873169,16.402348,122.433365,473.704712,-11.705536,97.778297,451.485626,-9.781126,127.121475,458.872375,16.403677,122.433243,473.705597,-6.705247,-79.968613,390.633026,22.758755,-41.512539,383.827118,35.882786,19.208984,418.957520,19.165716,-80.548752,374.998596,34.059250,-63.657707,386.023346,37.410770,-22.877424,396.459320,-0.297256,-4.659858,410.279175,-1.678087,-41.407570,397.435394,24.020212,0.879343,397.587891,,,,,,
