Format Version,1.24,Take Name,Take 2025-02-20 06.57.18 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-02-20 06.57.19.016 下午,Capture Start Frame,11113124,Total Frames in Take,6298,Total Exported Frames,6298,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.000537,0.000813,-0.000055,1.000000,60.433842,118.465416,713.002502,48.587837,99.938515,707.625916,81.489632,126.993568,714.858032,51.224113,128.464111,716.523376,48.597103,99.939507,707.627808,81.483101,126.985237,714.850464,51.220055,128.473007,716.527954,56.346527,-65.527199,599.540466,58.875938,-27.159979,612.018311,61.298775,13.067320,630.755920,79.708992,31.209890,645.791138,72.558060,-46.876637,604.947571,75.373917,-7.211473,619.918884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,-0.000452,-0.000594,-0.000087,1.000000,60.440922,118.469681,713.020569,48.608932,99.944435,707.607483,81.491936,126.996193,714.936768,51.221943,128.468369,716.517212,48.597511,99.932388,707.602417,81.505814,127.007637,714.950562,51.221931,128.470078,716.515686,56.332676,-65.379494,599.488159,58.869453,-27.099026,611.995544,61.308960,13.091073,630.764160,79.710518,31.221920,645.798157,72.549683,-46.748608,604.905273,75.380554,-7.180106,619.892822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.000807,-0.000474,-0.000121,1.000000,60.442116,118.465004,713.018372,48.607563,99.936737,707.621338,81.494171,126.991425,714.923523,51.224663,128.466797,716.510132,48.600426,99.934547,707.620972,81.501869,126.997574,714.925110,51.224094,128.462921,716.508850,56.305321,-65.237328,599.379700,58.861763,-27.036598,611.986816,61.311462,13.096697,630.776917,79.709991,31.218786,645.799194,72.528252,-46.640175,604.906006,75.378807,-7.162523,619.887878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,-0.001033,0.000331,-0.000073,0.999999,60.437077,118.460480,713.000916,48.595623,99.928650,707.631287,81.491356,126.989754,714.868286,51.224297,128.462967,716.502930,48.599167,99.935852,707.633057,81.487915,126.986549,714.862976,51.222389,128.458893,716.501770,56.267330,-65.118179,599.275818,58.840294,-26.976595,611.973694,61.306183,13.095453,630.785522,79.714104,31.209568,645.779602,72.494583,-46.547775,604.832214,75.367981,-7.153211,619.869202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.000605,0.000765,0.000013,1.000000,60.434120,118.461037,713.002808,48.591133,99.931808,707.627625,81.488579,126.992287,714.859192,51.222706,128.458984,716.521423,48.596985,99.935074,707.626038,81.482849,126.987923,714.859436,51.221756,128.461655,716.525574,56.222843,-65.021973,599.176147,58.773682,-26.905270,611.838745,61.292973,13.093539,630.770142,79.713181,31.204960,645.786133,72.461617,-46.483624,604.806274,75.347420,-7.145687,619.935608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,0.000207,0.001093,0.000097,0.999999,60.433819,118.462616,712.987610,48.590389,99.940147,707.590088,81.488075,126.994354,714.844055,51.223049,128.453278,716.528503,48.595806,99.931633,707.580994,81.481560,126.989662,714.843079,51.224384,128.468262,716.534912,56.167347,-64.960258,599.172546,58.729057,-26.860781,611.835388,61.277195,13.091002,630.755249,79.710724,31.204370,645.781433,72.402786,-46.434601,604.760010,75.314453,-7.140203,619.926575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,-0.000682,-0.000208,-0.000097,1.000000,60.438828,118.468124,713.021545,48.602268,99.940651,707.626099,81.491501,126.995056,714.917603,51.222763,128.468597,716.520691,48.596310,99.939102,707.630371,81.501503,127.001793,714.930603,51.220695,128.466125,716.516785,56.086380,-64.921173,599.173706,58.681328,-26.847851,611.808411,61.270447,13.093852,630.769836,79.713631,31.203814,645.800842,72.342606,-46.403316,604.711060,75.291359,-7.137244,619.964844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.000748,-0.000162,-0.000177,1.000000,60.438347,118.464859,713.018738,48.598335,99.938560,707.626892,81.492554,126.988663,714.911682,51.224201,128.467285,716.517395,48.594322,99.936371,707.626221,81.499702,126.991898,714.912354,51.221046,128.466309,716.517334,56.018208,-64.919342,599.211487,58.635536,-26.868055,611.851501,61.252419,13.099147,630.737305,79.715050,31.200272,645.786682,72.277710,-46.408566,604.698669,75.262306,-7.146851,619.966187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,-0.000646,-0.000317,-0.000148,1.000000,60.441216,118.464912,713.033081,48.603958,99.939018,707.633789,81.494331,126.989571,714.934326,51.225403,128.466080,716.530945,48.599964,99.937553,707.633423,81.501678,126.992836,714.935120,51.222027,128.464340,716.530518,55.948174,-64.957481,599.301636,58.575989,-26.900845,611.798523,61.248215,13.104127,630.734802,79.713867,31.203875,645.795837,72.205681,-46.433712,604.676880,75.235130,-7.156716,619.942078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,-0.000698,-0.000360,-0.000149,1.000000,60.440285,118.460999,713.018982,48.603458,99.934570,707.620544,81.493256,126.985817,714.921204,51.224186,128.462555,716.514954,48.596870,99.933342,707.620361,81.499718,126.991585,714.922729,51.224285,128.458084,716.513428,55.847073,-65.014114,599.241516,58.532471,-26.937483,611.827454,61.244194,13.118352,630.731812,79.722664,31.216919,645.804138,72.151344,-46.481571,604.677002,75.216217,-7.166772,619.942627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
