timestamp,sensor_id,w,x,y,z
17:06:24.151958,1,1.0,-0.0,0.0,-0.0
17:06:24.151958,2,1.0,0.0,-0.0,-0.01
17:06:30.908409,1,1.0,0.0,0.0,-0.0
17:06:30.917007,2,1.0,0.0,0.0,-0.0
17:06:30.974496,1,1.0,0.0,0.0,-0.0
17:06:30.986325,2,1.0,0.0,0.0,-0.0
17:06:31.043959,1,1.0,0.0,0.0,-0.0
17:06:31.055779,2,1.0,0.0,0.0,-0.0
17:06:31.113248,1,1.0,0.0,0.0,-0.0
17:06:31.182707,1,1.0,0.0,0.0,-0.0
17:06:31.617231,2,1.0,0.0,0.0,-0.0
17:06:31.674799,1,1.0,0.0,0.0,-0.0
17:06:31.686669,2,1.0,0.0,0.0,-0.0
17:06:31.744529,1,1.0,0.0,0.0,-0.0
17:06:31.756523,2,1.0,0.0,0.0,-0.0
17:06:31.813964,1,1.0,0.0,0.0,-0.0
17:06:31.825696,2,1.0,0.0,0.0,-0.0
17:06:31.883358,1,1.0,0.0,0.0,-0.0
17:06:31.895529,2,1.0,0.0,0.0,-0.0
17:06:31.952839,1,1.0,0.0,0.0,-0.0
17:06:31.965803,2,1.0,0.0,0.0,-0.0
17:06:32.023276,1,1.0,0.0,0.0,-0.0
17:06:32.035216,2,1.0,0.0,0.0,-0.0
17:06:32.514094,1,1.0,0.0,0.0,-0.0
17:06:32.526915,2,1.0,0.0,0.0,-0.0
17:06:32.584279,1,1.0,0.0,0.0,-0.0
17:06:32.596155,2,1.0,0.0,0.0,-0.0
17:06:32.653941,1,1.0,0.0,0.0,-0.0
17:06:32.665731,2,1.0,0.0,0.0,-0.0
17:06:32.723192,1,1.0,0.0,0.0,-0.0
17:06:32.734966,2,1.0,0.0,0.0,-0.0
17:06:32.792961,1,1.0,0.0,0.0,-0.0
17:06:32.805132,2,1.0,0.0,0.0,-0.0
17:06:32.862000,1,1.0,0.0,0.0,-0.0
17:06:32.874957,2,1.0,0.0,0.0,-0.0
17:06:32.943964,2,1.0,0.0,0.0,-0.0
17:06:33.354302,1,1.0,0.0,0.0,-0.0
17:06:33.423559,1,1.0,0.0,0.0,-0.0
17:06:33.493300,1,1.0,0.0,0.0,-0.0
17:06:33.505411,2,1.0,0.0,0.0,-0.0
17:06:33.562932,1,1.0,0.0,0.0,-0.0
17:06:33.574711,2,1.0,0.0,0.0,-0.0
17:06:33.632458,1,1.0,0.0,0.0,-0.0
17:06:33.644471,2,1.0,0.0,0.0,-0.0
17:06:33.702479,1,1.0,0.0,0.0,-0.0
17:06:33.714325,2,1.0,0.0,0.0,-0.0
17:06:33.784477,2,1.0,0.0,0.0,-0.0
17:06:33.854217,2,1.0,0.0,0.0,-0.0
17:06:33.922971,2,1.0,0.0,0.0,-0.0
17:06:34.194012,1,1.0,-0.02,-0.0,-0.01
17:06:34.263539,1,1.0,-0.04,-0.01,-0.01
17:06:34.332846,1,1.0,-0.07,-0.01,-0.02
17:06:34.402860,1,0.99,-0.1,-0.01,-0.02
17:06:34.414622,2,0.99,0.14,-0.01,-0.0
17:06:34.471915,1,0.99,-0.12,-0.01,-0.02
17:06:34.484805,2,0.99,0.14,-0.01,-0.0
17:06:34.542496,1,0.99,-0.12,-0.01,-0.0
17:06:34.553887,2,0.99,0.14,-0.01,0.0
17:06:34.623241,2,0.99,0.13,-0.01,0.01
17:06:34.693220,2,0.99,0.13,-0.01,0.01
17:06:34.763163,2,0.99,0.11,-0.01,0.02
17:06:34.833215,2,0.99,0.1,-0.0,0.0
17:06:34.902538,2,1.0,0.09,0.0,0.0
17:06:35.033747,1,1.0,-0.07,-0.02,-0.03
