timestamp,sensor_id,w,x,y,z
15:11:53.223819,1,1.0,0.0,0.0,-0.0
15:11:53.378840,2,1.0,0.0,0.0,-0.0
15:11:53.449026,2,1.0,0.0,0.0,-0.0
15:11:53.518403,2,1.0,0.0,0.0,-0.0
15:11:53.587955,2,1.0,0.0,0.0,-0.0
15:11:53.657243,2,1.0,0.0,0.0,-0.0
15:11:53.715230,1,1.0,0.0,0.0,-0.0
15:11:53.727249,2,1.0,0.0,0.0,-0.0
15:11:53.784672,1,1.0,0.0,0.0,-0.0
15:11:53.797455,2,1.0,0.0,0.0,-0.0
15:11:53.853940,1,1.0,0.0,0.0,-0.0
15:11:53.866849,2,1.0,0.0,0.0,-0.0
15:11:53.923750,1,1.0,0.0,0.0,-0.0
15:11:53.993888,1,1.0,0.0,0.0,-0.0
15:11:54.063546,1,1.0,0.0,0.0,-0.0
15:11:54.358110,2,1.0,0.0,0.0,-0.0
15:11:54.428209,2,1.0,0.0,0.0,-0.0
15:11:54.496983,2,1.0,0.0,0.0,-0.0
15:11:54.554215,1,1.0,0.0,0.0,-0.0
15:11:54.567440,2,1.0,0.0,0.0,-0.0
15:11:54.624793,1,1.0,0.0,0.0,-0.0
15:11:54.636720,2,1.0,0.0,0.0,-0.0
15:11:54.694322,1,1.0,0.0,0.0,-0.0
15:11:54.706082,2,1.0,0.0,0.0,-0.0
15:11:54.763787,1,1.0,0.0,0.0,-0.0
15:11:54.775586,2,1.0,0.0,0.0,-0.0
15:11:54.833361,1,1.0,0.0,0.0,-0.0
15:11:54.902951,1,1.0,0.0,0.0,-0.0
15:11:54.972896,1,1.0,0.0,0.0,-0.0
15:11:55.267304,2,1.0,0.0,0.0,-0.0
15:11:55.336940,2,1.0,0.0,0.0,-0.0
15:11:55.395077,1,1.0,0.0,0.0,-0.0
15:11:55.407167,2,1.0,0.0,0.0,-0.0
15:11:55.463780,1,1.0,0.0,0.0,-0.0
15:11:55.476989,2,1.0,0.0,0.0,-0.0
15:11:55.533459,1,1.0,0.0,0.0,-0.0
15:11:55.546361,2,1.0,0.0,0.0,-0.0
15:11:55.602889,1,1.0,0.0,0.0,-0.0
15:11:55.615858,2,1.0,0.0,0.0,-0.0
15:11:55.672639,1,1.0,0.0,0.0,-0.0
15:11:55.685448,2,1.0,0.0,0.0,-0.0
15:11:55.742912,1,1.0,0.0,0.0,-0.0
15:11:55.812259,1,1.0,0.0,0.0,-0.0
15:11:56.233536,1,1.0,0.0,0.0,-0.0
15:11:56.246321,2,1.0,0.0,0.0,-0.0
15:11:56.303768,1,1.0,0.0,0.0,-0.0
15:11:56.315668,2,1.0,0.0,0.0,-0.0
15:11:56.373201,1,1.0,0.0,0.0,-0.0
15:11:56.386157,2,1.0,0.0,0.0,-0.0
15:11:56.442682,1,1.0,0.0,0.0,-0.0
15:11:56.455529,2,1.0,0.0,0.0,-0.0
15:11:56.512421,1,1.0,0.0,0.0,-0.0
15:11:56.524541,2,1.0,0.0,0.0,-0.0
15:11:56.582764,1,1.0,0.0,0.0,-0.0
15:11:56.594520,2,1.0,0.0,-0.0,-0.0
15:11:56.652018,1,1.0,0.0,0.0,-0.0
15:11:57.143372,1,1.0,0.0,0.0,-0.0
15:11:57.155143,2,1.0,0.05,-0.0,0.01
15:11:57.212934,1,1.0,0.0,0.0,-0.0
15:11:57.224898,2,1.0,0.05,-0.0,0.01
15:11:57.282905,1,1.0,0.0,0.0,-0.0
15:11:57.294701,2,1.0,0.06,-0.0,0.01
15:11:57.352250,1,1.0,0.0,0.0,-0.0
15:11:57.364062,2,1.0,0.06,-0.0,0.02
15:11:57.421676,1,1.0,0.0,0.0,-0.0
15:11:57.434537,2,1.0,0.06,-0.0,0.02
15:11:57.491956,1,1.0,0.0,0.0,-0.0
15:11:57.503766,2,1.0,0.06,-0.0,0.02
15:11:57.573399,2,1.0,0.05,-0.0,0.0
15:11:57.643248,2,1.0,0.05,-0.0,0.0
15:11:57.982996,1,1.0,0.0,0.0,-0.0
15:11:58.052630,1,1.0,0.0,0.0,-0.0
15:11:58.122779,1,1.0,0.0,0.0,-0.0
15:11:58.134526,2,1.0,0.02,0.0,0.03
15:11:58.191710,1,1.0,0.0,0.0,-0.0
15:11:58.204715,2,1.0,0.02,0.0,0.03
15:11:58.261689,1,1.0,0.0,0.0,-0.0
15:11:58.273970,2,1.0,0.01,0.0,0.03
15:11:58.330805,1,1.0,0.0,0.0,-0.0
15:11:58.343638,2,1.0,0.01,0.0,0.03
15:11:58.413141,2,1.0,-0.0,0.0,0.03
15:11:58.482936,2,1.0,-0.01,0.0,0.03
15:11:58.552481,2,1.0,-0.02,0.0,0.0
15:11:58.823029,1,1.0,0.0,0.0,-0.0
15:11:58.892491,1,1.0,0.0,0.0,-0.0
15:11:58.962210,1,1.0,0.0,0.0,-0.0
15:11:59.031764,1,1.0,0.0,0.0,-0.0
15:11:59.043580,2,1.0,-0.05,0.01,0.03
15:11:59.101111,1,1.0,0.0,0.0,-0.0
15:11:59.113992,2,1.0,-0.06,0.01,0.03
15:11:59.170498,1,1.0,0.0,0.0,-0.0
15:11:59.183383,2,1.0,-0.06,0.01,0.03
15:11:59.253051,2,1.0,-0.07,0.01,0.03
15:11:59.322056,2,1.0,-0.08,0.01,0.03
15:11:59.392495,2,1.0,-0.08,0.01,0.03
15:11:59.462280,2,1.0,-0.08,0.01,0.0
15:11:59.662914,1,1.0,0.0,0.0,-0.0
15:11:59.731710,1,1.0,0.0,0.0,-0.0
15:11:59.802067,1,1.0,0.0,0.0,-0.0
15:11:59.870831,1,1.0,0.0,0.0,-0.0
15:11:59.940463,1,1.0,0.0,0.0,-0.0
15:11:59.953447,2,0.99,-0.11,0.02,0.04
15:12:00.010097,1,1.0,0.0,0.0,-0.0
15:12:00.023040,2,0.99,-0.11,0.02,0.04
15:12:00.080654,1,1.0,0.0,0.0,-0.0
15:12:00.092487,2,0.99,-0.11,0.02,0.04
15:12:00.161759,2,0.99,-0.12,0.02,0.04
15:12:00.231981,2,0.99,-0.12,0.02,0.04
15:12:00.301161,2,0.99,-0.13,0.02,0.04
15:12:00.371172,2,0.99,-0.13,0.02,0.04
15:12:00.440224,2,0.99,-0.13,0.02,0.0
15:12:00.502564,1,1.0,0.0,0.0,-0.0
15:12:00.572085,1,1.0,0.0,0.0,-0.0
15:12:00.641115,1,1.0,0.0,0.0,-0.0
15:12:00.711433,1,1.0,0.0,0.0,-0.0
15:12:00.780226,1,1.0,0.0,0.0,-0.0
15:12:00.850546,1,1.0,0.0,0.0,-0.0
15:12:00.920243,1,1.0,0.0,0.0,-0.0
15:12:00.932223,2,0.99,-0.15,0.02,0.04
15:12:01.001329,2,0.99,-0.15,0.02,0.04
15:12:01.071927,2,0.99,-0.15,0.02,0.04
15:12:01.141519,2,0.99,-0.16,0.02,0.04
15:12:01.211185,2,0.99,-0.16,0.02,0.04
15:12:01.280057,2,0.99,-0.16,0.02,0.04
15:12:01.342209,1,1.0,0.0,0.0,-0.0
15:12:01.349883,2,0.99,-0.16,0.02,0.04
15:12:01.411100,1,1.0,0.0,0.0,-0.0
15:12:01.419826,2,0.99,-0.16,0.02,0.0
15:12:01.480969,1,1.0,0.0,0.0,-0.0
15:12:01.550406,1,1.0,0.0,0.0,-0.0
15:12:01.620243,1,1.0,0.0,0.0,-0.0
15:12:01.690139,1,1.0,0.0,0.0,-0.0
15:12:01.759251,1,1.0,0.0,0.0,-0.0
15:12:01.841266,2,0.98,-0.17,0.02,0.03
15:12:01.911634,2,0.98,-0.17,0.02,0.03
15:12:01.980207,2,0.98,-0.18,0.02,0.03
15:12:02.050583,2,0.98,-0.18,0.02,0.03
15:12:02.119992,2,0.98,-0.18,0.02,0.03
15:12:02.181207,1,1.0,0.0,0.0,-0.0
15:12:02.189848,2,0.98,-0.18,0.02,0.03
15:12:02.251612,1,1.0,0.0,0.0,-0.0
15:12:02.259363,2,0.98,-0.18,0.02,0.03
15:12:02.320884,1,1.0,0.0,0.0,-0.0
15:12:02.328560,2,0.98,-0.18,0.02,0.0
15:12:02.390316,1,1.0,0.0,0.0,-0.0
15:12:02.459771,1,1.0,0.0,0.0,-0.0
15:12:02.529524,1,1.0,0.0,0.0,-0.0
15:12:02.599825,1,1.0,0.0,0.0,-0.0
15:12:02.820734,2,0.98,-0.18,0.02,0.04
15:12:02.890199,2,0.98,-0.18,0.02,0.04
15:12:02.959835,2,0.98,-0.18,0.02,0.04
15:12:03.029536,2,0.98,-0.18,0.02,0.04
15:12:03.090414,1,1.0,0.0,0.0,-0.0
