timestamp,sensor_id,w,x,y,z
17:34:10.970258,1,1.0,0.01,0.0,-0.0
17:34:11.036268,1,1.0,0.01,0.0,-0.0
17:34:11.048217,2,1.0,-0.01,0.0,-0.0
17:34:11.105961,1,1.0,0.01,0.0,-0.0
17:34:11.117924,2,1.0,-0.02,0.0,-0.0
17:34:11.187576,2,1.0,-0.02,0.0,-0.0
17:34:11.257670,2,1.0,-0.04,0.0,-0.0
17:34:11.326600,2,1.0,-0.05,0.0,-0.0
17:34:11.396837,2,1.0,-0.07,0.01,-0.0
17:34:11.466016,2,1.0,-0.08,0.01,-0.0
17:34:11.596898,1,1.0,0.02,0.01,-0.0
17:34:11.667104,1,1.0,0.02,0.01,-0.0
17:34:11.736438,1,1.0,0.03,0.01,-0.0
17:34:11.806599,1,1.0,0.03,0.01,0.0
17:34:11.876154,1,1.0,0.04,0.01,0.0
17:34:11.945304,1,1.0,0.05,0.02,0.0
17:34:11.958190,2,0.99,-0.15,0.02,-0.01
17:34:12.027742,2,0.99,-0.15,0.02,-0.01
17:34:12.097027,2,0.99,-0.15,0.02,-0.01
17:34:12.167027,2,0.99,-0.16,0.02,-0.01
17:34:12.236274,2,0.98,-0.18,0.02,-0.01
17:34:12.306446,2,0.98,-0.19,0.02,-0.01
17:34:12.367173,1,1.0,0.08,0.02,0.01
17:34:12.375727,2,0.98,-0.2,0.02,-0.0
17:34:12.437399,1,1.0,0.08,0.02,0.01
17:34:12.506575,1,1.0,0.09,0.02,0.01
17:34:12.576118,1,0.99,0.1,0.02,0.01
17:34:12.588858,2,0.98,-0.21,0.03,-0.02
17:34:12.646494,1,0.99,0.11,0.03,0.01
17:34:12.716007,1,0.99,0.11,0.03,0.01
17:34:12.785433,1,0.99,0.12,0.03,0.0
17:34:12.854695,1,0.99,0.12,0.03,0.0
17:34:12.936756,2,0.97,-0.24,0.03,-0.03
17:34:13.005913,2,0.97,-0.25,0.03,-0.03
17:34:13.075641,2,0.96,-0.26,0.03,-0.03
17:34:13.145981,2,0.96,-0.27,0.04,-0.03
17:34:13.206811,1,0.98,0.17,0.03,0.01
17:34:13.215469,2,0.96,-0.29,0.04,-0.03
17:34:13.277035,1,0.98,0.18,0.03,0.01
17:34:13.284605,2,0.95,-0.3,0.04,-0.04
17:34:13.346278,1,0.98,0.19,0.04,0.01
17:34:13.354791,2,0.95,-0.31,0.04,-0.0
17:34:13.416321,1,0.98,0.21,0.04,0.01
17:34:13.485692,1,0.97,0.23,0.04,0.0
17:34:13.555073,1,0.97,0.24,0.04,0.0
17:34:13.624766,1,0.97,0.25,0.04,0.0
17:34:13.776523,2,0.93,-0.36,0.05,-0.05
17:34:13.846420,2,0.92,-0.38,0.05,-0.05
17:34:13.915444,2,0.92,-0.38,0.05,-0.06
17:34:13.985020,2,0.92,-0.39,0.05,-0.06
17:34:14.054600,2,0.92,-0.38,0.05,-0.06
17:34:14.116245,1,0.96,0.27,0.05,0.0
17:34:14.124807,2,0.92,-0.39,0.05,-0.06
17:34:14.186477,1,0.96,0.27,0.05,0.0
17:34:14.193989,2,0.92,-0.39,0.05,-0.07
17:34:14.256243,1,0.96,0.27,0.05,0.0
17:34:14.263826,2,0.92,-0.39,0.05,-0.0
17:34:14.325313,1,0.96,0.27,0.05,0.0
17:34:14.395464,1,0.96,0.27,0.05,0.0
17:34:14.464775,1,0.96,0.27,0.05,0.0
17:34:14.755075,2,0.92,-0.39,0.05,-0.08
17:34:14.825617,2,0.91,-0.39,0.05,-0.09
17:34:14.886189,1,0.97,0.26,0.05,0.0
17:34:14.894807,2,0.92,-0.39,0.05,-0.09
17:34:14.956645,1,0.97,0.25,0.05,0.0
17:34:14.964232,2,0.92,-0.38,0.05,-0.09
17:34:15.026036,1,0.97,0.25,0.05,0.0
17:34:15.033583,2,0.92,-0.37,0.05,-0.09
17:34:15.095523,1,0.97,0.25,0.04,0.0
17:34:15.104127,2,0.92,-0.37,0.05,-0.1
17:34:15.164942,1,0.97,0.25,0.04,0.0
17:34:15.173605,2,0.92,-0.37,0.05,-0.1
17:34:15.234384,1,0.97,0.24,0.04,0.0
17:34:15.304336,1,0.97,0.24,0.04,0.0
17:34:15.664845,2,0.93,-0.36,0.05,-0.11
17:34:15.734233,2,0.92,-0.36,0.05,-0.12
17:34:15.795910,1,0.97,0.22,0.04,0.0
17:34:15.804490,2,0.93,-0.36,0.05,-0.12
17:34:15.865074,1,0.97,0.22,0.04,0.0
17:34:15.873667,2,0.93,-0.35,0.05,-0.12
17:34:15.935402,1,0.98,0.22,0.04,0.0
17:34:15.942974,2,0.93,-0.33,0.05,-0.12
17:34:16.004531,1,0.97,0.22,0.04,0.0
17:34:16.013168,2,0.94,-0.32,0.04,-0.11
17:34:16.074840,1,0.98,0.21,0.04,0.0
17:34:16.082469,2,0.94,-0.31,0.04,-0.1
17:34:16.144312,1,0.98,0.2,0.04,0.0
17:34:16.213712,1,0.98,0.19,0.04,0.0
17:34:16.566479,1,0.99,0.14,0.03,0.0
17:34:16.636040,1,0.99,0.13,0.03,0.0
17:34:16.643731,2,0.96,-0.25,0.03,-0.11
17:34:16.705771,1,0.99,0.12,0.03,0.0
17:34:16.713300,2,0.96,-0.25,0.03,-0.11
17:34:16.774865,1,0.99,0.12,0.03,0.0
17:34:16.783414,2,0.96,-0.25,0.04,-0.11
17:34:16.843995,1,0.99,0.12,0.03,0.0
17:34:16.852547,2,0.96,-0.25,0.04,-0.11
17:34:16.914064,1,0.99,0.11,0.03,0.01
