Format Version,1.24,Take Name,Take 2025-02-20 06.54.51 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-02-20 06.54.51.776 下午,Capture Start Frame,11095454,Total Frames in Take,6102,Total Exported Frames,6102,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.000662,-0.000528,-0.000158,1.000000,6.377445,117.390038,715.838623,-5.093151,98.900284,709.697876,27.257433,125.923141,719.378479,-3.031924,127.346680,718.439514,-5.095605,98.888062,709.693970,27.261421,125.924393,719.379272,-3.033509,127.357635,718.442627,30.308388,29.408905,649.898315,27.551210,-10.108872,624.748291,25.505568,-49.870056,610.666443,11.647264,-30.147541,616.784424,9.630347,-68.623360,604.814392,13.008604,10.627808,633.806213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,0.000055,-0.000295,-0.000212,1.000000,6.380945,117.392632,715.860229,-5.094474,98.896660,709.747314,27.263485,125.927788,719.380005,-3.026155,127.353432,718.453430,-5.088860,98.899857,709.759888,27.265512,125.923485,719.376831,-3.032643,127.358078,718.458008,30.311031,29.408186,649.881531,27.542967,-10.109043,624.685486,25.505327,-49.867920,610.648560,11.654145,-30.154791,616.824768,9.633309,-68.633873,604.825073,13.003377,10.628878,633.787048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,0.000792,0.000030,-0.000079,1.000000,6.376700,117.393723,715.851318,-5.097777,98.903725,709.718567,27.259256,125.929268,719.370056,-3.031356,127.348183,718.465271,-5.095667,98.891769,709.714661,27.261320,125.926537,719.366150,-3.037210,127.365395,718.474304,30.311243,29.413097,649.905090,27.553406,-10.107835,624.747620,25.503630,-49.868088,610.651367,11.644062,-30.149668,616.771606,9.631692,-68.623230,604.836792,13.002518,10.631242,633.773926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,0.000387,-0.000026,-0.000120,1.000000,6.377728,117.393784,715.849304,-5.097597,98.899765,709.730286,27.260597,125.930443,719.363464,-3.029795,127.351135,718.454102,-5.093400,98.895187,709.734131,27.260826,125.926598,719.360413,-3.033829,127.361237,718.456482,30.311207,29.413307,649.892212,27.550837,-10.112465,624.741882,25.500093,-49.865063,610.648499,11.646479,-30.147188,616.792786,9.631708,-68.622849,604.832642,13.001545,10.632487,633.769836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,0.000347,0.000228,-0.000100,1.000000,6.379071,117.397171,715.868347,-5.098626,98.902222,709.756592,27.263384,125.934944,719.371277,-3.027524,127.354355,718.477173,-5.090607,98.899368,709.756104,27.262724,125.927269,719.368835,-3.034936,127.364922,718.480286,30.311630,29.413759,649.917419,27.552555,-10.118287,624.752319,25.503922,-49.864372,610.671082,11.649526,-30.147694,616.795776,9.633900,-68.617668,604.846130,13.003340,10.632605,633.745728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,0.000304,-0.000013,-0.000145,1.000000,6.380050,117.395851,715.847290,-5.096343,98.901382,709.731628,27.263430,125.932053,719.359497,-3.026917,127.354088,718.450745,-5.091699,98.897713,709.726257,27.266300,125.926926,719.356323,-3.034486,127.361732,718.447632,30.311857,29.411558,649.899109,27.556513,-10.123449,624.733459,25.507418,-49.867786,610.650696,11.643538,-30.147995,616.767273,9.634264,-68.629547,604.830872,13.001510,10.628407,633.766602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,0.000809,-0.000138,-0.000043,1.000000,6.377604,117.393303,715.847290,-5.093503,98.902687,709.710144,27.258371,125.930206,719.373352,-3.032036,127.346992,718.458496,-5.095709,98.888039,709.701904,27.261717,125.930992,719.374939,-3.034376,127.359421,718.462463,30.308836,29.404842,649.878296,27.552204,-10.126549,624.746460,25.505480,-49.871376,610.671204,11.646770,-30.154898,616.802551,9.633575,-68.626183,604.846863,13.003757,10.621446,633.768677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,-0.000039,0.000214,-0.000145,1.000000,6.379430,117.395432,715.859985,-5.099741,98.896782,709.762268,27.264402,125.934052,719.356873,-3.026352,127.355453,718.460876,-5.089517,98.901382,709.770081,27.263607,125.924423,719.351440,-3.035288,127.360909,718.460571,30.310486,29.407228,649.901001,27.551517,-10.121515,624.740479,25.505169,-49.869747,610.666626,11.647285,-30.156443,616.799072,9.634417,-68.623650,604.850708,13.007478,10.619269,633.779358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,0.000693,-0.000255,-0.000046,1.000000,6.376623,117.397285,715.846191,-5.093181,98.905334,709.710571,27.256626,125.934853,719.375122,-3.033556,127.351654,718.452820,-5.095142,98.892258,709.698792,27.260136,125.936226,719.377625,-3.036304,127.363594,718.455017,30.307381,29.411060,649.888306,27.550608,-10.119657,624.725464,25.506563,-49.870667,610.682678,11.655407,-30.154770,616.827881,9.633678,-68.628510,604.853882,13.004932,10.624515,633.780884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,0.000282,-0.000539,-0.000102,1.000000,6.379014,117.402718,715.860291,-5.089367,98.907005,709.733398,27.257963,125.940857,719.394104,-3.031532,127.360268,718.453430,-5.091897,98.901787,709.734375,27.263920,125.943390,719.396851,-3.034182,127.364380,718.453247,30.309559,29.413671,649.887878,27.556160,-10.119808,624.745544,25.504065,-49.868198,610.658020,11.648420,-30.149694,616.788086,9.633904,-68.626190,604.845459,13.001410,10.628546,633.763306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.133333,0.000567,0.000327,-0.000079,1.000000,6.378279,117.397690,715.845215,-5.099830,98.904930,709.727661,27.262915,125.934807,719.347717,-3.028229,127.353310,718.460327,-5.093074,98.900307,709.725220,27.261885,125.926193,719.338867,-3.034403,127.364296,718.464600,30.307510,29.413166,649.897522,27.552565,-10.122120,624.723022,25.505508,-49.871803,610.665649,11.652160,-30.154718,616.803833,9.636834,-68.630379,604.855957,13.004877,10.626685,633.778198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,0.000235,-0.000212,-0.000157,1.000000,6.377526,117.393875,715.855896,-5.096900,98.898849,709.738281,27.259722,125.930038,719.375244,-3.030223,127.352715,718.454224,-5.094316,98.895622,709.738647,27.263111,125.926971,719.378235,-3.036567,127.357544,718.453552,30.306881,29.408319,649.912048,27.552040,-10.116243,624.729431,25.504225,-49.876320,610.646484,11.646286,-30.153280,616.791748,9.635349,-68.637276,604.866089,13.002063,10.622239,633.770874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,0.000632,0.000179,-0.000081,1.000000,6.377345,117.394791,715.859924,-5.099040,98.902878,709.736511,27.260984,125.931366,719.369751,-3.029890,127.350121,718.473572,-5.092801,98.894554,709.733215,27.260717,125.924988,719.366577,-3.035994,127.365288,718.480347,30.304779,29.403152,649.893921,27.541336,-10.118896,624.684265,25.501532,-49.878078,610.677429,11.644936,-30.152946,616.787170,9.635706,-68.642891,604.844421,12.998975,10.624471,633.779846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,0.000411,0.000155,-0.000160,1.000000,6.379088,117.393600,715.853149,-5.099935,98.900795,709.737427,27.263914,125.928413,719.360168,-3.026693,127.351585,718.461853,-5.092730,98.896927,709.736633,27.263844,125.921356,719.358154,-3.033884,127.362564,718.464600,30.306536,29.411188,649.902588,27.552864,-10.122576,624.737244,25.502705,-49.873859,610.661438,11.651134,-30.162230,616.839844,9.636854,-68.641075,604.856018,13.005414,10.627632,633.793457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,0.000415,0.000147,-0.000124,1.000000,6.380416,117.395203,715.855652,-5.097172,98.901619,709.739563,27.264568,125.931503,719.363098,-3.026126,127.352478,718.464294,-5.089389,98.898216,709.738831,27.261414,125.924110,719.360657,-3.030792,127.363312,718.467407,30.309134,29.414179,649.885254,27.552357,-10.118156,624.736328,25.504364,-49.875095,610.648804,11.647615,-30.152473,616.797974,9.646369,-68.648438,604.912292,12.999468,10.631518,633.769836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,0.000707,-0.000199,-0.000114,1.000000,6.378862,117.398346,715.855591,-5.094113,98.908104,709.720764,27.260408,125.933006,719.382446,-3.029687,127.353905,718.463562,-5.094198,98.899040,709.715515,27.263680,125.932243,719.384399,-3.033793,127.364410,718.466248,30.311384,29.415598,649.883423,27.554554,-10.117660,624.741760,25.501539,-49.867336,610.653748,11.646214,-30.148848,616.793396,9.644604,-68.643219,604.907471,13.001855,10.630701,633.769226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,0.000798,0.000363,-0.000024,1.000000,6.377320,117.395081,715.854309,-5.099228,98.903908,709.728943,27.261288,125.932854,719.359192,-3.030077,127.348465,718.474609,-5.092465,98.893829,709.727478,27.259840,125.924973,719.353455,-3.036159,127.364952,718.481140,30.308376,29.404716,649.888855,27.550819,-10.121880,624.734253,25.504202,-49.871246,610.659302,11.644182,-30.153393,616.757263,9.634268,-68.643021,604.857239,12.997329,10.625474,633.772888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,0.000644,-0.000061,-0.000106,1.000000,6.375469,117.392105,715.850647,-5.098923,98.900932,709.721313,27.257860,125.927521,719.370667,-3.032509,127.347855,718.459961,-5.098130,98.887978,709.716858,27.259253,125.924927,719.371704,-3.035427,127.362236,718.461853,30.307287,29.402607,649.883118,27.540052,-10.124559,624.681396,25.502916,-49.875263,610.661865,11.644545,-30.155397,616.781555,9.644744,-68.646118,604.910706,13.007110,10.620497,633.786438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.000104,-0.000416,-0.000193,1.000000,6.382060,117.394470,715.859070,-5.091209,98.896133,709.749207,27.263441,125.931534,719.381104,-3.026028,127.355736,718.446777,-5.085637,98.898315,709.750549,27.263643,125.926361,719.379822,-3.031827,127.358734,718.446777,30.312092,29.405910,649.890503,27.554106,-10.124635,624.737671,25.502443,-49.870213,610.656738,11.644476,-30.153538,616.763428,9.635874,-68.634026,604.855530,13.006653,10.619747,633.780518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
