Format Version,1.24,Take Name,Take 2025-02-23 02.34.27 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-02-23 02.34.28.585 下午,Capture Start Frame,6772371,Total Frames in Take,8009,Total Exported Frames,8009,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.000217,0.000725,0.000065,1.000000,8.501791,77.980865,472.624207,-1.637042,60.077930,462.804413,0.489338,89.354431,470.105194,26.653055,84.510162,484.963043,-1.661142,60.059731,462.784027,0.465677,89.351456,470.090820,26.702782,84.525978,484.996307,45.139297,-18.802794,429.998016,8.910663,-42.473576,421.572296,31.420212,-79.584106,395.051147,42.538654,-101.777809,397.235718,27.422358,-118.612000,386.451294,1.844603,-117.872437,402.301880,7.187482,-79.290344,409.029449,46.287254,-60.989315,407.541260,33.108356,-37.131622,408.645630,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,0.000233,0.000821,0.000086,1.000000,8.508543,77.969078,472.619263,-1.631390,60.066006,462.800842,0.495112,89.342377,470.102142,26.661888,84.498779,484.954834,-1.653780,60.051563,462.783752,0.473270,89.338814,470.088196,26.708437,84.513680,484.984711,45.157360,-18.808245,429.988007,8.928498,-42.459038,421.551392,31.465448,-79.548897,394.984894,42.595375,-101.722046,397.170807,27.505713,-118.519913,386.347656,1.910499,-117.839966,402.184631,7.226328,-79.267540,408.959412,46.323944,-60.944355,407.507660,33.126595,-37.067772,408.634674,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,0.000146,0.000935,0.000017,1.000000,8.518126,77.976280,472.597351,-1.626523,60.072891,462.784393,0.505686,89.350235,470.080078,26.675194,84.505630,484.927612,-1.645595,60.063545,462.770996,0.482773,89.346886,470.065460,26.718267,84.518730,484.956360,45.162804,-18.774450,429.980133,8.950109,-42.430927,421.518799,31.507532,-79.482323,394.922546,42.662361,-101.615997,397.072693,27.583899,-118.436600,386.231201,1.976549,-117.786003,402.066498,7.264693,-79.221046,408.885620,46.353401,-60.872135,407.472717,33.157616,-37.032497,408.623535,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,0.000095,0.001022,-0.000027,1.000000,8.527314,77.994377,472.587555,-1.620638,60.090904,462.778137,0.515450,89.368797,470.070526,26.687109,84.523354,484.914001,-1.635610,60.086494,462.768494,0.491670,89.366508,470.056213,26.727365,84.534157,484.940918,45.173805,-18.726994,429.972961,8.965407,-42.397369,421.486145,31.564423,-79.349358,394.884460,42.719639,-101.521988,396.976624,27.653767,-118.352287,386.115448,2.043589,-117.724800,401.950867,7.309824,-79.151939,408.794952,46.377045,-60.806797,407.435455,33.167316,-36.988792,408.592560,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,-0.000023,0.000719,-0.000117,1.000000,8.541363,78.004364,472.566315,-1.603838,60.100380,462.755005,0.533064,89.379623,470.041718,26.694841,84.533020,484.902222,-1.622925,60.089520,462.741333,0.509713,89.378044,470.026978,26.738380,84.545876,484.931396,45.183025,-18.719999,429.950623,8.983460,-42.367416,421.455688,31.608242,-79.242950,394.835327,42.783028,-101.419464,396.852264,27.723669,-118.252304,385.981628,2.117932,-117.667213,401.821625,7.355873,-79.094025,408.709961,46.412319,-60.736721,407.394470,33.186649,-36.934124,408.585327,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,0.000189,0.001024,0.000011,1.000000,8.551520,78.001587,472.556305,-1.595107,60.099178,462.743591,0.538784,89.375870,470.041412,26.710865,84.529640,484.883911,-1.612402,60.085865,462.731537,0.519114,89.375839,470.033325,26.748285,84.540009,484.907074,45.194851,-18.701832,429.954712,9.005703,-42.351048,421.444580,31.657179,-79.195000,394.768097,42.844910,-101.321609,396.729767,27.814445,-118.138229,385.831268,2.207053,-117.612671,401.660767,7.404324,-79.053680,408.606049,46.449322,-60.652790,407.350739,33.212933,-36.886986,408.584717,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,0.000509,0.000925,0.000103,1.000000,8.567116,77.993179,472.534943,-1.574284,60.095203,462.708740,0.552794,89.367599,470.025787,26.722818,84.516655,484.870331,-1.593317,60.078373,462.691345,0.534930,89.367889,470.015839,26.762140,84.528931,484.896515,45.213638,-18.696966,429.940887,9.034292,-42.337734,421.383972,31.708986,-79.100639,394.690796,42.919403,-101.218903,396.618835,27.908304,-118.010536,385.671143,2.295293,-117.558014,401.500824,7.454597,-79.023315,408.537476,46.494270,-60.596176,407.321838,33.241287,-36.843727,408.571564,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,0.000586,0.000867,0.000172,1.000000,8.579316,77.987778,472.518311,-1.558471,60.089912,462.688171,0.563707,89.361473,470.009979,26.732695,84.511864,484.856812,-1.580529,60.074001,462.671509,0.547765,89.361160,470.000244,26.771570,84.528442,484.883759,45.224258,-18.655771,429.938751,9.061398,-42.315098,421.348541,31.767160,-79.003723,394.610718,42.991077,-101.123947,396.522858,28.000729,-117.888702,385.496887,2.379337,-117.502487,401.354126,7.502697,-78.978424,408.462524,46.530167,-60.551193,407.282928,33.269573,-36.799858,408.552856,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,0.000578,0.000747,0.000117,1.000000,8.592598,77.998764,472.497742,-1.544796,60.101868,462.665436,0.578853,89.373314,469.987274,26.743715,84.521034,484.840485,-1.566899,60.086094,462.647491,0.563007,89.376343,469.976349,26.783876,84.538795,484.867432,45.243362,-18.631676,429.923767,9.081042,-42.279930,421.309692,31.817041,-78.907730,394.506226,43.055817,-100.996483,396.407959,28.089590,-117.771088,385.342285,2.461426,-117.430458,401.189575,7.552481,-78.916557,408.369995,46.568233,-60.459641,407.239899,33.288994,-36.729504,408.530975,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,0.000423,0.000602,0.000057,1.000000,8.608263,78.018089,472.478241,-1.528443,60.119354,462.648590,0.596614,89.392822,469.961914,26.756598,84.542023,484.824219,-1.551876,60.101898,462.630859,0.578687,89.393333,469.950958,26.798990,84.559364,484.853577,45.258385,-18.607708,429.906921,9.104401,-42.244072,421.278687,31.872875,-78.813393,394.411072,43.129086,-100.891815,396.273132,28.171934,-117.662521,385.203186,2.541503,-117.362251,401.036713,7.602168,-78.851486,408.289551,46.611206,-60.354153,407.208313,33.317791,-36.664539,408.514191,,,,,,,,,,,,,,,,,,,,,,,,,,,
