Format Version,1.24,Take Name,Take 2025-02-27 06.56.51 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-02-27 06.56.51.395 下午,Capture Start Frame,97609,Total Frames in Take,7724,Total Exported Frames,7724,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.000157,-0.000028,0.000248,1.000000,15.286519,101.408676,463.840607,4.809417,83.850792,453.267731,34.099567,107.694359,475.328613,6.950574,112.680832,462.925415,4.802768,83.840836,453.256134,34.106056,107.703049,475.335724,6.952708,112.683289,462.929596,13.611894,-16.858307,407.531097,50.303631,7.087151,414.078552,5.630965,-91.865707,387.351501,34.467548,-53.370258,378.632751,30.094898,-92.259560,369.590881,50.110996,-34.865479,390.362671,11.275150,-53.423592,394.270325,45.879894,-75.604324,379.638153,36.812794,-11.001282,392.898590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.058333,0.000128,0.000150,0.000175,1.000000,15.285888,101.404144,463.832275,4.802455,83.847183,453.264160,34.103943,107.687744,475.313232,6.951270,112.677460,462.919403,4.804171,83.846512,453.264893,34.099113,107.686691,475.310486,6.954370,112.679260,462.921448,13.612506,-16.855957,407.529114,50.306770,7.083489,414.082306,5.632143,-91.865067,387.348145,34.475437,-53.373566,378.659698,30.095541,-92.260223,369.589661,50.112381,-34.864437,390.378815,11.272789,-53.428471,394.258484,45.884808,-75.602295,379.652008,36.814278,-11.000728,392.890472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.066667,-0.000119,-0.000141,-0.000023,1.000000,15.284617,101.403648,463.839508,4.800376,83.845612,453.273926,34.098473,107.685463,475.328308,6.955004,112.679817,462.916199,4.801795,83.850441,453.276978,34.102524,107.684288,475.333862,6.949446,112.677345,462.912201,13.610416,-16.854404,407.547943,50.306362,7.084253,414.095764,5.630167,-91.866493,387.357544,34.473000,-53.368473,378.642548,30.097748,-92.269035,369.598358,50.110115,-34.865356,390.360168,11.283117,-53.430695,394.300323,45.884151,-75.605186,379.644714,36.818771,-10.998067,392.898010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.075000,0.000184,-0.000607,0.000040,1.000000,15.286564,101.406860,463.852448,4.814404,83.853912,453.266449,34.088898,107.684067,475.362610,6.956390,112.682533,462.928192,4.805968,83.847618,453.260101,34.099068,107.690674,475.369873,6.954692,112.682312,462.927246,13.610684,-16.854959,407.536957,50.298302,7.083362,414.070526,5.631999,-91.866646,387.349091,34.470982,-53.374363,378.643616,30.097654,-92.267105,369.597900,50.108753,-34.867924,390.364349,11.273101,-53.428627,394.257721,45.885540,-75.604843,379.645691,36.817383,-11.003085,392.910461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.083333,0.000125,-0.000249,0.000077,1.000000,15.287085,101.404640,463.838287,4.808660,83.849670,453.261841,34.097191,107.684608,475.334229,6.955405,112.679588,462.918701,4.806955,83.847084,453.260162,34.103592,107.685051,475.337494,6.950723,112.681793,462.917084,13.611576,-16.856155,407.546265,50.306274,7.083539,414.080933,5.632921,-91.866020,387.349854,34.467918,-53.376335,378.645844,30.096224,-92.268135,369.593903,50.109383,-34.867630,390.361450,11.276429,-53.430756,394.267792,45.885986,-75.602852,379.653992,36.814232,-11.000240,392.891418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.091667,-0.000324,0.000279,-0.000116,1.000000,15.282155,101.404266,463.846252,4.785803,83.843857,453.296692,34.106812,107.687286,475.316711,6.953854,112.681595,462.925354,4.794622,83.859016,453.311279,34.097874,107.678917,475.309967,6.952273,112.675468,462.924072,13.610820,-16.859089,407.537201,50.303749,7.084452,414.083557,5.629353,-91.868607,387.347565,34.475456,-53.369900,378.651520,30.093557,-92.268257,369.581024,50.111061,-34.866539,390.354797,11.276820,-53.430202,394.271606,45.883778,-75.604225,379.645508,36.816868,-11.004257,392.906799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.100000,0.000036,-0.000024,0.000216,1.000000,15.286867,101.407845,463.840302,4.808555,83.848076,453.271759,34.100403,107.695099,475.326660,6.951646,112.680313,462.922424,4.805493,83.845024,453.263885,34.103378,107.701721,475.334198,6.953469,112.678528,462.923370,13.612382,-16.855406,407.542419,50.305786,7.085744,414.082855,5.629541,-91.861671,387.337952,34.476135,-53.374577,378.669342,30.098398,-92.267654,369.597870,50.107716,-34.867180,390.367004,11.280702,-53.428997,394.286926,45.884571,-75.605865,379.651276,36.818405,-11.003118,392.899567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.108333,0.000035,0.000045,0.000106,1.000000,15.286670,101.407524,463.841400,4.803027,83.850044,453.274353,34.103176,107.690651,475.325165,6.953806,112.681824,462.924652,4.801537,83.849541,453.273438,34.103855,107.691994,475.325897,6.954620,112.681038,462.924805,13.611012,-16.854284,407.543793,50.303265,7.084731,414.082062,5.629033,-91.866211,387.344452,34.475468,-53.373249,378.647156,30.096094,-92.262848,369.591919,50.112034,-34.865513,390.361633,11.287064,-53.436516,394.308075,45.884449,-75.605667,379.644043,36.813747,-11.001756,392.885712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.116667,0.000149,-0.000118,0.000075,1.000000,15.287063,101.403969,463.840729,4.805799,83.849548,453.266205,34.100201,107.683311,475.332062,6.955190,112.678993,462.923859,4.804699,83.848473,453.265289,34.101521,107.684105,475.333038,6.954971,112.679329,462.923828,13.610285,-16.857321,407.541321,50.303116,7.084515,414.079285,5.629034,-91.866997,387.349152,34.472137,-53.368587,378.644440,30.097702,-92.269791,369.598877,50.111271,-34.867653,390.374939,11.273686,-53.426556,394.261780,45.885162,-75.602638,379.644470,36.814735,-11.002916,392.888916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.125000,0.000145,-0.000629,0.000047,1.000000,15.286418,101.405106,463.853455,4.814958,83.851204,453.268372,34.088169,107.683472,475.363953,6.956129,112.680595,462.927979,4.805993,83.845329,453.262573,34.101063,107.691360,475.376434,6.951985,112.679985,462.925720,13.613688,-16.856684,407.532318,50.302570,7.081190,414.074921,5.631659,-91.866806,387.349945,34.473415,-53.375553,378.663513,30.095463,-92.267212,369.593994,50.108280,-34.870461,390.363678,11.272452,-53.426773,394.258606,45.884808,-75.604607,379.646881,36.812981,-11.004508,392.896118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
